id,value_kbps,value_mbps
100,2089.82,2.08982
99,2078.48,2.07848
98,2089.91,2.08991
97,2078.75,2.07875
96,2051.05,2.05105
95,2078.75,2.07875
94,2062.18,2.06218
93,2073.93,2.07393
92,2089.78,2.08978
91,2090.34,2.0903400000000003
90,2083.47,2.08347
89,2050.61,2.0506100000000003
88,2090.4,2.0904000000000003
87,2050.84,2.05084
86,2050.85,2.05085
85,2062.84,2.06284
84,2062.67,2.06267
83,2073.62,2.07362
82,2078.67,2.07867
81,2089.86,2.0898600000000003
80,2089.82,2.08982
79,2078.34,2.0783400000000003
78,2078.16,2.07816
77,2078.47,2.07847
76,2089.89,2.08989
75,2049.99,2.04999
74,2062.84,2.06284
73,2063.05,2.06305
72,2089.91,2.08991
71,2090.06,2.09006
70,2063.4,2.0634
69,2089.78,2.08978
68,2089.79,2.08979
67,2050.81,2.05081
66,2089.8,2.0898000000000003
65,2089.64,2.08964
64,2090.93,2.09093
63,2090.62,2.09062
62,2090.53,2.09053
61,2079.27,2.07927
60,2091.41,2.09141
59,2091.41,2.09141
58,2091.1,2.0911
57,2090.75,2.09075
56,2089.72,2.08972
55,2091.5,2.0915
54,2091.5,2.0915
53,2080.21,2.08021
52,2091.53,2.09153
51,2078.75,2.07875
50,2078.53,2.07853
49,2093.26,2.0932600000000003
48,2093.26,2.0932600000000003
47,2219.81,2.21981
46,2080.91,2.08091
45,2080.02,2.08002
44,2166.59,2.16659
43,2166.59,2.16659
42,2166.63,2.16663
41,2166.63,2.16663
40,2166.63,2.16663
39,2166.59,2.16659
38,2154.86,2.15486
37,2090.73,2.09073
36,2090.45,2.09045
35,2090.72,2.09072
34,2091.41,2.09141
33,2090.21,2.09021
32,2090.11,2.09011
31,2090.43,2.09043
30,2090.97,2.09097
29,2091.19,2.09119
28,2091.05,2.09105
27,2091.05,2.09105
26,2076.92,2.07692
25,2090.26,2.09026
24,2074.73,2.07473
23,2091.11,2.09111
22,2090.88,2.0908800000000003
21,2087.37,2.08737
20,2090.83,2.09083
19,2090.83,2.09083
18,2090.88,2.0908800000000003
17,2090.61,2.0906100000000003
16,2085.18,2.08518
15,2090.67,2.0906700000000003
14,2090.59,2.09059
13,2090.08,2.09008
12,2090.08,2.09008
11,2078.45,2.07845
10,2078.48,2.07848
9,2089.54,2.08954
8,2078.75,2.07875
7,2090.49,2.09049
6,2090.02,2.09002
5,2090.03,2.09003
4,2089.83,2.08983
3,2079.27,2.07927
2,2074.29,2.07429
1,2085.34,2.08534
